Date,Envelope,Account,Name,Notes,"Check #",Amount,Status,Details
20/03/2023,Studiu,"My Account",Kindle,,,-235.96,,
20/03/2023,"Cumpărături neesențiale","My Account",LinkedIn,,,-133.99,,
20/03/2023,Taxi,"My Account",OTL,,,-3.00,,
19/03/2023,Cumparaturi,"My Account",Auchan,"Ulei cocos",,-71.80,,
18/03/2023,Cumparaturi,"My Account","Penny Market",,,-7.00,,
18/03/2023,"Cumpărături neesențiale","My Account","Noodle Pack",,,-45.00,,
18/03/2023,Cumparaturi,"My Account",Kaufland,,,-55.14,,
17/03/2023,Studiu,"My Account","Auto Zach",,,-300.00,,
17/03/2023,"Cumpărături neesențiale","My Account","Benzinărie Ramada",,,-3.50,,
17/03/2023,Taxi,"My Account",OTL,,,-3.00,,
17/03/2023,"Cumpărături neesențiale","My Account",Kindle,,,-50.44,,
16/03/2023,Cumparaturi,"My Account",Kaufland,,,-25.43,,
16/03/2023,Cumparaturi,"My Account",Lidl,,,-43.55,,
16/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
16/03/2023,Taxi,"My Account",OTL,,,-3.00,,
16/03/2023,"Cumpărături neesențiale","My Account",Profi,,,-9.65,,
15/03/2023,"Cumpărături neesențiale","My Account",CaseKing,"Carcasă DAN case",,-921.67,,
15/03/2023,Taxi,"My Account",OTL,,,-3.00,,
15/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
14/03/2023,Cumparaturi,"My Account",Kaufland,,,-28.64,,
14/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
14/03/2023,"Cumpărături neesențiale","My Account","iT Mar","Placă de bază mITX",,-330.00,,
14/03/2023,Taxi,"My Account",OTL,,,-6.00,,
13/03/2023,Taxi,"My Account",OTL,,,-3.00,,
13/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
12/03/2023,"Cumpărături neesențiale","My Account",Profi,,,-8.49,,
12/03/2023,Cumparaturi,"My Account",Lidl,,,-34.55,,
12/03/2023,Cumparaturi,"My Account",Kaufland,,,-156.23,,
10/03/2023,"Cumpărături neesențiale","My Account","Sweet Garden",,,-61.00,,
10/03/2023,"Cumpărături neesențiale","My Account",Tazz,,,-64.97,,
10/03/2023,Cumparaturi,"My Account","Mega Image",,,-27.19,,
10/03/2023,Taxi,"My Account",OTL,,,-3.00,,
10/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
10/03/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
09/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
09/03/2023,Taxi,"My Account",OTL,,,-3.00,,
08/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
08/03/2023,Taxi,"My Account",OTL,,,-3.00,,
08/03/2023,Cumparaturi,"My Account",Lidl,,,-10.98,,
07/03/2023,Donatii,"My Account",De-clic,,,-50.00,,
07/03/2023,Taxi,"My Account",OTL,,,-3.00,,
07/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
06/03/2023,Taxi,"My Account",OTL,,,-3.00,,
06/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
06/03/2023,Cumparaturi,"My Account",Lidl,,,-11.48,,
05/03/2023,Cumparaturi,"My Account",Lidl,,,-74.53,,
05/03/2023,Cumparaturi,"My Account",Kaufland,,,-137.95,,
03/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
03/03/2023,Taxi,"My Account",OTL,,,-3.00,,
03/03/2023,Studiu,"My Account",AWS,,,-24.11,,
02/03/2023,Cumparaturi,"My Account",Profi,,,-7.49,,
02/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
02/03/2023,Taxi,"My Account",OTL,,,-3.00,,
02/03/2023,Donatii,"My Account",Libertatea,,,-50.00,,
01/03/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
01/03/2023,"Cumpărături neesențiale","My Account",Profi,,,-8.49,,
01/03/2023,Taxi,"My Account",OTL,,,-3.00,,
01/03/2023,Utilitati,"My Account",DIGI,,,-9.93,,
28/02/2023,"Cumpărături neesențiale","My Account","Cafele Premiate",,,-73.49,,
28/02/2023,"Cumpărături neesențiale","My Account",Kindle,,,-9.82,,
27/02/2023,Taxi,"My Account",OTL,,,-3.00,,
27/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
26/02/2023,"Cumpărături neesențiale","My Account",Kaufland,"Prelungitor, baterii, fursecuri ",,-66.76,,
26/02/2023,Cumparaturi,"My Account",Kaufland,,,-8.65,,
26/02/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-151.50,,
25/02/2023,Cumparaturi,"My Account",Lidl,,,-54.55,,
25/02/2023,Cumparaturi,"My Account",Kaufland,,,-137.74,,
25/02/2023,Cumparaturi,"My Account","Piata Rogerius",,,-8.00,,
24/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
23/02/2023,Medical,"My Account",DrMax,,,-4.49,,
23/02/2023,Utilitati,"My Account","Asociatia Locatari Aluminei 68",,,-507.20,,
23/02/2023,"Cumpărături neesențiale","My Account","Ștrandul Ioșia ",,,-22.00,,
23/02/2023,Medical,"My Account",Catena,,,-49.90,,
22/02/2023,Cumparaturi,"My Account",Lidl,,,-11.48,,
22/02/2023,Cumparaturi,"My Account",Auchan,,,-9.49,,
22/02/2023,"Cumpărături neesențiale","My Account",Auchan,,,-97.40,,
22/02/2023,"Cumpărături neesențiale","My Account","Ștrandul Ioșia ",,,-22.00,,
21/02/2023,"Cumpărături neesențiale","My Account",EMAG,,,-74.25,,
20/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
20/02/2023,Taxi,"My Account",OTL,,,-3.00,,
20/02/2023,"Cumpărături neesențiale","My Account",LinkedIn,,,-133.99,,
20/02/2023,"Cumpărături neesențiale","My Account",Metalochimice,,,-54.00,,
19/02/2023,"Cumpărături neesențiale","My Account",Profi,,,-8.49,,
18/02/2023,Cumparaturi,"My Account",Lidl,,,-56.96,,
18/02/2023,Cumparaturi,"My Account",Kaufland,,,-81.07,,
18/02/2023,Cumparaturi,"My Account","Piața Rogerius",,,-9.70,,
18/02/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-48.18,,
16/02/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
